Team_Size,Estimated_Timeline_Months,Complexity_Score,Stakeholder_Count,Team_Experience_Level,External_Dependencies_Count,Change_Request_Frequency,Project_Phase,Vendor_Reliability_Score,Communication_Frequency,Regulatory_Compliance_Level,Technology_Familiarity,Schedule_Pressure,Resource_Availability,Integration_Complexity,Project_Budget_USD
8,12,6.14,9,Senior,3,1.07,Planning,0.71,11.03,High,Familiar,0.22,0.62,9.08,600816.42
9,9,3.86,8,Mixed,1,0.91,Closure,0.75,4.24,Medium,Familiar,0.07,0.83,6.01,986572.7
5,8,2.32,4,Mixed,1,4.44,Closure,0.65,4.65,High,Familiar,0.0,0.93,4.68,491308.77
31,25,6.64,19,Senior,3,2.69,Initiation,0.67,2.47,Medium,Familiar,0.0,0.66,3.94,2334012.63
6,10,5.45,8,Expert,2,0.43,Initiation,0.83,2.58,Medium,Expert,0.27,0.65,7.91,710067.31
25,28,8.35,12,Senior,6,0.29,Planning,0.74,1.44,High,Familiar,0.0,0.61,7.35,1242953.21
10,17,6.72,12,Mixed,3,1.92,Planning,0.7,4.57,Critical,Familiar,0.0,0.52,6.44,1047552.12
30,30,10.0,20,Junior,4,0.35,Monitoring,0.29,3.88,Low,New,0.0,0.64,2.77,2870943.88
11,19,6.48,8,Mixed,3,1.18,Planning,0.91,1.44,Critical,New,0.0,0.46,3.81,1194428.17
21,24,9.33,17,Senior,3,0.38,Monitoring,0.77,1.72,Critical,New,0.0,0.46,9.34,1607502.4
6,14,4.52,7,Mixed,3,0.76,Closure,0.72,3.44,Low,Familiar,0.0,0.39,7.0,893417.2
12,20,9.06,10,Senior,3,0.78,Monitoring,0.87,6.7,High,Expert,0.12,0.74,8.51,1097471.56
20,15,3.68,14,Mixed,1,4.68,Initiation,0.77,3.39,Critical,Familiar,0.0,0.59,4.19,1371669.22
10,19,9.81,8,Mixed,3,0.54,Execution,0.43,2.74,Critical,Expert,0.23,0.68,3.42,1013528.15
14,19,7.55,13,Senior,5,2.38,Execution,0.91,3.21,Medium,Expert,0.0,0.43,2.5,908431.42
33,25,6.41,16,Senior,4,0.39,Closure,0.8,3.88,Medium,Expert,0.0,0.62,8.22,1759357.43
2,9,3.35,8,Junior,1,2.32,Closure,0.49,1.72,Critical,New,0.0,0.38,4.15,382508.91
4,9,4.43,5,Junior,2,1.08,Monitoring,0.92,3.08,Low,Familiar,0.19,0.57,8.4,628705.64
26,27,10.0,19,Senior,4,1.15,Execution,0.87,1.31,Medium,New,0.0,0.52,6.87,2534703.15
10,13,5.07,9,Senior,4,0.54,Execution,0.65,1.01,Low,Familiar,0.0,0.6,1.16,979183.19
24,25,10.0,19,Mixed,4,0.84,Planning,0.7,1.99,Medium,New,0.0,0.63,9.2,2223296.44
16,18,6.94,17,Mixed,3,1.3,Monitoring,0.88,3.64,High,Familiar,0.0,0.99,7.32,1674408.75
17,21,8.55,8,Senior,6,1.41,Closure,0.85,11.84,Low,Expert,0.02,0.57,1.61,989499.48
6,12,5.7,11,Junior,2,1.36,Planning,0.9,2.54,Low,Familiar,0.16,0.88,6.43,701205.27
35,32,8.8,16,Mixed,5,0.49,Execution,0.51,2.07,Critical,New,0.0,0.64,7.79,1884061.27
19,17,5.63,13,Senior,1,0.79,Initiation,0.82,2.55,Critical,Expert,0.0,0.37,7.3,1012232.55
24,20,7.23,16,Mixed,3,0.69,Planning,0.64,4.03,High,New,0.0,0.52,7.74,2139554.93
6,13,5.88,9,Senior,3,1.33,Initiation,0.42,4.6,Critical,Expert,0.12,0.45,8.92,664009.9
9,11,3.07,12,Senior,3,1.07,Closure,0.52,5.55,High,Familiar,0.0,0.62,8.02,913077.57
22,26,10.0,13,Mixed,4,0.24,Closure,0.55,3.58,High,New,0.0,1.0,2.23,1665756.98
21,22,6.59,9,Mixed,2,0.74,Execution,0.47,2.79,Medium,Familiar,0.0,0.36,6.72,1001539.73
30,30,8.25,11,Junior,3,0.69,Monitoring,0.75,5.31,Critical,Familiar,0.0,0.95,3.61,1567605.84
8,7,3.02,9,Expert,3,0.22,Initiation,0.87,3.89,High,Familiar,0.07,0.79,9.29,389340.0
9,14,5.77,10,Junior,2,0.31,Initiation,0.67,8.69,Critical,Expert,0.03,0.73,4.18,745740.18
10,12,4.19,12,Expert,2,1.37,Monitoring,0.86,6.14,Low,Familiar,0.0,0.37,9.52,837440.99
12,16,7.27,14,Senior,5,0.56,Initiation,0.41,4.22,Low,New,0.12,0.71,9.29,1330371.62
13,18,6.68,9,Mixed,2,0.74,Monitoring,0.98,3.42,High,Familiar,0.0,0.91,9.47,1251156.17
19,20,4.64,11,Senior,2,4.27,Planning,0.87,3.37,Critical,Expert,0.0,0.84,7.11,1156788.24
17,17,7.92,9,Mixed,4,2.69,Closure,0.39,2.16,Medium,Familiar,0.14,0.56,8.58,1334670.15
17,23,8.48,18,Mixed,5,1.79,Planning,0.98,6.48,Medium,New,0.0,0.88,7.99,1773161.64
14,13,4.58,10,Mixed,4,1.15,Closure,0.64,6.57,High,Expert,0.0,0.71,6.28,1135779.98
7,11,4.27,9,Senior,1,2.78,Monitoring,0.75,2.45,Critical,New,0.0,0.92,8.93,986393.57
13,22,8.08,9,Expert,4,0.92,Monitoring,0.76,1.81,Critical,Expert,0.0,0.99,4.98,1111271.59
15,15,5.83,13,Senior,4,1.25,Execution,0.59,3.47,High,Familiar,0.0,0.83,6.65,1026056.67
7,9,4.43,5,Mixed,2,0.94,Initiation,0.56,1.46,Critical,Familiar,0.19,0.35,4.49,618141.35
6,12,5.06,7,Mixed,2,0.17,Monitoring,0.95,1.25,Critical,Expert,0.05,0.91,5.16,467539.93
7,12,4.51,10,Mixed,2,1.21,Closure,0.52,4.53,High,Familiar,0.0,0.85,1.29,989069.32
9,9,5.18,9,Mixed,2,0.93,Execution,0.64,6.63,Low,Expert,0.31,0.67,7.75,574513.65
7,5,2.87,3,Expert,3,1.64,Execution,0.67,3.76,Low,Expert,0.3,1.0,8.02,411537.66
2,7,4.48,9,Junior,3,0.74,Planning,0.81,4.15,High,Familiar,0.38,0.46,3.02,385034.63
15,15,6.18,11,Junior,3,0.95,Monitoring,0.64,3.71,Medium,New,0.03,0.73,5.21,1127068.27
15,12,4.87,12,Senior,4,1.01,Monitoring,0.71,1.53,Critical,Familiar,0.01,0.71,8.25,1278084.75
9,13,3.3,10,Mixed,1,0.69,Execution,0.9,3.56,Low,Expert,0.0,0.36,2.24,908547.43
22,17,4.76,16,Senior,1,2.24,Execution,0.86,6.8,Low,Familiar,0.0,0.31,9.2,1844907.24
38,29,6.98,19,Mixed,4,0.83,Planning,0.71,1.66,Low,Expert,0.0,0.68,8.23,2238328.55
19,22,7.81,18,Senior,4,0.89,Monitoring,0.9,1.19,Medium,Familiar,0.0,0.61,5.2,2027111.9
21,20,5.82,14,Mixed,3,4.9,Execution,0.69,3.05,Medium,Familiar,0.0,0.35,5.99,1670930.43
14,14,5.64,10,Senior,3,1.16,Execution,0.62,4.3,Low,Familiar,0.01,0.79,7.58,567489.17
5,10,3.41,10,Senior,0,2.03,Monitoring,0.35,1.64,Medium,Expert,0.0,0.61,4.46,529247.88
12,15,6.63,12,Mixed,4,1.03,Closure,0.89,6.16,Medium,Familiar,0.1,0.46,7.71,1080592.62
7,7,3.5,7,Senior,2,2.37,Initiation,0.49,7.09,High,New,0.2,0.7,4.62,479551.97
7,9,3.79,10,Junior,1,1.68,Execution,0.83,4.28,Low,Expert,0.05,0.52,7.72,498347.77
19,22,8.55,17,Mixed,6,1.68,Planning,0.85,5.6,Low,Familiar,0.0,0.53,8.73,2070358.83
25,20,3.92,12,Junior,2,2.64,Execution,0.79,7.4,Critical,Expert,0.0,0.56,1.79,1587371.97
6,11,4.38,5,Mixed,1,0.34,Execution,0.58,3.49,Medium,New,0.0,0.94,1.81,747101.32
10,19,7.54,8,Expert,3,1.93,Monitoring,0.66,4.58,Critical,Familiar,0.0,0.76,5.32,1133647.27
24,26,10.0,16,Mixed,5,3.02,Closure,0.83,4.37,Critical,New,0.0,0.44,6.72,2215089.91
33,32,9.63,19,Junior,3,1.99,Closure,0.61,4.55,Critical,Familiar,0.0,0.54,5.27,2484915.23
23,19,4.3,12,Senior,1,0.82,Initiation,0.45,4.32,Critical,New,0.0,0.54,3.25,1528589.34
28,22,4.32,14,Senior,4,1.79,Monitoring,0.65,3.36,Low,Expert,0.0,0.74,4.86,1926728.35
9,22,8.73,6,Mixed,5,3.4,Monitoring,0.79,3.4,Critical,Expert,0.0,0.63,5.11,738941.18
13,15,4.91,10,Mixed,1,0.72,Initiation,0.75,10.36,High,Expert,0.0,0.6,9.04,634128.18
21,25,10.0,15,Senior,6,2.21,Execution,0.89,0.94,Low,New,0.0,0.89,1.52,1583118.66
8,13,5.18,7,Senior,1,0.9,Closure,0.74,2.25,Low,Familiar,0.0,0.96,1.43,498192.11
27,26,10.0,17,Expert,7,0.47,Closure,0.42,1.56,Low,New,0.0,0.51,7.9,2386368.1
14,17,7.69,7,Senior,4,0.83,Closure,0.87,3.2,High,Expert,0.12,0.71,1.93,854291.49
11,10,4.29,4,Mixed,1,2.27,Execution,0.78,5.16,Low,Expert,0.07,0.52,6.77,400813.02
4,7,3.58,4,Expert,0,0.96,Initiation,0.58,2.17,Critical,Expert,0.22,0.82,6.23,268604.44
14,17,6.42,15,Senior,5,0.91,Initiation,0.54,2.9,Low,New,0.0,0.46,6.52,1624385.14
14,12,3.9,7,Senior,3,0.49,Execution,0.82,6.52,Low,Expert,0.0,0.47,9.58,507613.42
15,13,4.2,9,Senior,1,0.7,Initiation,0.72,4.84,Medium,Familiar,0.0,0.55,2.57,584529.2
23,22,5.98,12,Expert,4,2.69,Closure,0.17,2.46,Critical,Familiar,0.0,0.77,8.8,1311091.9
22,28,10.0,20,Mixed,5,1.63,Execution,0.72,1.55,Medium,New,0.0,0.78,7.59,2188644.29
9,18,9.54,12,Senior,5,0.47,Initiation,0.76,0.91,Low,Expert,0.25,0.84,2.13,947267.97
12,19,9.09,11,Mixed,3,0.4,Planning,0.9,3.71,High,Familiar,0.16,0.66,9.43,849640.03
25,22,4.77,15,Junior,3,0.97,Closure,0.53,1.65,High,New,0.0,0.36,5.44,1591703.62
14,21,8.34,14,Junior,3,1.38,Execution,0.78,4.32,High,Expert,0.0,0.81,1.14,1058929.71
35,26,6.03,21,Mixed,5,1.1,Execution,0.85,0.9,Low,Familiar,0.0,0.86,2.36,2366664.29
4,11,4.74,6,Senior,3,1.34,Execution,0.81,4.14,Medium,Expert,0.07,0.57,1.56,514190.68
12,16,7.69,7,Senior,2,0.25,Initiation,0.91,3.09,Low,New,0.17,0.93,7.86,746067.31
18,17,5.49,6,Senior,4,2.22,Execution,0.86,3.21,Low,Expert,0.0,0.94,4.99,629784.93
24,18,5.59,10,Mixed,3,0.26,Execution,0.75,2.24,Medium,Expert,0.0,0.78,9.84,1249710.43
18,21,10.0,14,Senior,7,1.28,Monitoring,0.91,4.19,Medium,Expert,0.16,0.99,7.54,1262067.16
5,5,1.9,9,Expert,2,0.15,Closure,0.9,3.63,Critical,Expert,0.0,0.94,6.96,700007.72
11,9,4.06,5,Mixed,4,0.78,Execution,0.55,2.36,Low,Expert,0.11,0.71,9.16,723559.87
18,18,6.29,7,Mixed,2,0.7,Closure,0.51,4.55,High,Familiar,0.0,0.82,6.06,760677.31
26,21,4.67,19,Junior,2,0.47,Closure,0.54,3.63,Low,New,0.0,0.3,1.78,1981947.59
15,25,10.0,14,Senior,7,0.89,Closure,0.66,4.63,Low,Expert,0.0,0.86,1.12,1298720.54
17,16,6.06,9,Senior,5,2.81,Execution,0.55,1.86,Critical,Familiar,0.0,0.9,4.06,754301.26
38,35,10.0,20,Expert,5,0.94,Execution,0.48,8.99,Low,Expert,0.0,0.41,5.6,2011013.5
10,15,6.23,6,Junior,5,1.48,Initiation,0.54,4.36,Critical,Familiar,0.04,0.6,3.73,547663.72
16,20,10.0,10,Mixed,6,0.68,Closure,0.6,2.0,Medium,New,0.2,0.71,3.39,1183055.58
25,22,6.25,17,Senior,3,0.77,Closure,0.46,2.73,High,Expert,0.0,0.31,9.01,1590476.65
7,6,2.96,8,Senior,3,1.18,Planning,0.7,5.0,High,Expert,0.19,0.65,8.78,511827.36
11,11,4.48,5,Senior,1,1.39,Initiation,0.37,2.54,Low,Familiar,0.02,0.68,1.1,565920.29
8,10,3.44,5,Senior,2,1.97,Initiation,0.98,5.65,Critical,Familiar,0.0,0.4,1.48,711046.8
2,5,2.02,4,Mixed,3,2.09,Initiation,0.64,2.26,High,Expert,0.01,0.85,9.93,554497.55
8,11,5.37,10,Mixed,3,4.23,Execution,0.45,6.49,Critical,New,0.18,0.78,1.17,906628.12
16,11,3.43,9,Senior,0,2.89,Monitoring,0.91,6.26,High,Expert,0.0,0.37,5.48,995592.43
25,28,10.0,13,Junior,4,2.12,Planning,0.73,4.74,Critical,New,0.0,0.54,5.39,1945417.49
7,11,4.04,9,Junior,3,2.41,Closure,0.91,3.2,Critical,Familiar,0.0,0.4,5.88,603389.16
7,13,4.77,7,Mixed,1,0.33,Monitoring,0.5,2.84,Low,Expert,0.0,0.7,2.01,919288.13
2,7,4.28,6,Senior,2,6.35,Closure,0.58,9.33,Critical,New,0.35,0.71,8.94,556100.88
18,22,10.0,11,Mixed,7,1.83,Closure,0.91,1.75,Low,New,0.12,0.41,6.96,1405701.14
12,9,3.58,5,Mixed,0,3.23,Monitoring,0.91,2.54,High,Familiar,0.0,0.8,1.96,648354.99
23,21,6.21,18,Senior,5,0.97,Planning,0.73,2.3,Medium,Familiar,0.0,0.44,9.76,1827079.75
20,17,4.18,11,Senior,2,2.03,Initiation,0.85,7.2,High,Familiar,0.0,0.74,1.95,1287594.06
46,36,10.0,23,Expert,5,2.18,Execution,0.61,6.77,Critical,Expert,0.0,0.76,3.68,2951344.08
17,18,7.17,13,Junior,5,0.89,Closure,0.54,2.16,High,New,0.0,0.37,8.99,1488434.39
11,13,7.04,11,Senior,4,0.16,Monitoring,0.91,1.91,Critical,Familiar,0.26,0.47,2.02,752897.09
6,10,4.99,9,Senior,1,2.35,Execution,0.76,4.46,High,Expert,0.2,0.56,5.33,824280.67
25,23,5.24,15,Mixed,1,3.58,Initiation,0.67,2.57,Low,New,0.0,0.95,7.54,1624916.87
10,12,4.95,5,Mixed,4,0.43,Execution,0.96,3.49,Critical,Familiar,0.03,0.53,1.24,572905.22
12,20,8.82,6,Senior,4,0.72,Monitoring,0.87,2.83,Low,Expert,0.09,0.32,2.12,695025.25
10,11,4.64,5,Senior,4,2.61,Closure,0.37,4.74,Medium,Expert,0.05,0.6,8.66,711944.89
2,6,2.26,5,Junior,2,0.39,Initiation,0.6,1.3,Critical,Familiar,0.0,1.0,8.23,364334.47
3,8,4.03,8,Expert,4,1.88,Closure,0.48,2.91,Low,New,0.21,0.86,5.4,510285.85
24,23,6.31,13,Senior,3,1.76,Monitoring,0.61,1.67,Critical,Expert,0.0,0.62,2.99,1133177.67
11,18,8.44,15,Senior,4,1.84,Planning,0.9,4.74,High,Familiar,0.15,0.6,8.44,1230052.31
23,19,5.07,12,Mixed,1,2.0,Initiation,0.39,8.45,High,Familiar,0.0,0.63,6.31,1437707.15
40,32,7.22,23,Mixed,2,1.54,Initiation,0.85,2.32,Low,Expert,0.0,0.82,7.37,2496310.43
8,16,6.03,12,Mixed,2,3.12,Closure,0.86,0.05,Low,Familiar,0.0,0.83,5.97,815744.58
11,11,5.38,11,Expert,2,1.55,Closure,0.91,3.18,Medium,Familiar,0.18,0.88,8.06,645768.04
8,6,2.77,7,Junior,1,0.36,Closure,0.76,3.13,Critical,Familiar,0.13,0.73,1.34,491907.64
8,7,3.14,3,Junior,1,2.74,Execution,0.49,4.74,Low,Familiar,0.11,0.75,7.24,303032.32
19,22,7.62,11,Senior,2,0.5,Execution,0.84,3.53,Medium,New,0.0,0.8,5.09,993352.09
47,33,7.81,20,Senior,5,1.96,Monitoring,0.53,2.67,Critical,Expert,0.0,0.79,5.39,2800739.34
17,21,10.0,15,Mixed,5,4.46,Planning,0.92,6.04,Medium,Familiar,0.16,0.59,4.66,1237929.22
23,24,9.13,15,Mixed,3,1.0,Monitoring,0.55,8.87,Critical,New,0.0,0.72,6.68,2196015.14
32,26,5.83,16,Mixed,3,3.7,Closure,0.78,2.29,High,New,0.0,0.51,1.4,1908220.44
11,15,6.25,9,Senior,5,3.36,Execution,0.92,1.29,Critical,Expert,0.04,0.89,9.8,591937.77
29,24,5.64,14,Senior,3,2.01,Planning,0.8,2.85,High,New,0.0,0.94,8.89,1691215.04
14,15,5.93,11,Mixed,1,0.75,Monitoring,0.88,1.54,Critical,Familiar,0.0,0.72,1.13,829533.79
15,25,10.0,15,Mixed,6,0.58,Initiation,0.99,3.74,Medium,New,0.0,0.97,1.86,1432440.12
7,13,5.17,10,Expert,1,2.07,Execution,0.91,5.17,High,Expert,0.0,0.52,5.41,736473.45
7,8,3.14,8,Senior,3,1.44,Planning,0.9,5.57,Low,Familiar,0.0,0.49,9.22,405408.41
13,13,3.97,9,Mixed,2,2.06,Monitoring,0.71,6.47,Medium,Expert,0.0,0.44,7.9,1158092.73
28,31,10.0,18,Mixed,5,0.66,Execution,0.94,5.63,Low,Familiar,0.0,0.84,5.43,2004132.19
16,23,8.99,10,Mixed,3,1.01,Monitoring,0.88,8.18,Medium,Expert,0.0,0.99,6.63,1222597.13
28,20,4.33,12,Mixed,4,3.64,Execution,0.83,2.62,Critical,Familiar,0.0,0.53,6.79,1734331.9
10,13,5.98,10,Expert,4,2.11,Execution,0.59,2.75,Low,Familiar,0.13,0.84,7.18,1067565.65
4,5,1.97,5,Expert,2,0.68,Execution,0.39,2.81,Medium,Expert,0.0,0.6,7.37,458892.98
15,17,6.7,10,Expert,4,0.76,Closure,0.7,2.31,Critical,Familiar,0.0,0.59,9.13,1160008.91
16,17,6.59,17,Expert,3,0.28,Monitoring,0.65,3.29,Low,Familiar,0.0,0.79,1.32,1762877.79
16,19,8.77,16,Mixed,6,1.82,Monitoring,0.48,6.65,High,New,0.13,0.91,5.01,1473753.92
21,21,9.31,18,Mixed,6,3.22,Monitoring,0.78,1.62,Medium,New,0.1,0.68,1.17,1665393.79
16,21,7.04,10,Mixed,2,2.41,Monitoring,0.72,3.13,Medium,Familiar,0.0,0.95,4.37,658910.02
9,8,3.04,11,Mixed,2,0.78,Initiation,0.55,7.7,Medium,New,0.0,0.4,6.09,611972.56
27,20,5.72,10,Mixed,1,1.57,Closure,0.67,2.95,Medium,Familiar,0.0,0.5,6.64,1270080.79
16,15,5.37,15,Mixed,2,1.09,Planning,0.65,5.01,Critical,New,0.0,0.92,3.56,1725083.37
6,11,4.9,6,Senior,3,2.41,Closure,0.78,4.97,Low,Expert,0.1,0.65,6.82,774770.43
33,28,7.06,14,Senior,2,1.4,Planning,0.83,3.21,Critical,Expert,0.0,0.49,3.02,1620430.57
14,15,7.07,11,Mixed,3,0.45,Monitoring,0.88,3.17,High,New,0.15,0.95,7.24,1137417.84
11,17,6.99,11,Senior,5,1.14,Initiation,0.85,3.05,Medium,Familiar,0.03,0.63,9.71,1179585.59
12,25,10.0,6,Mixed,5,0.11,Closure,0.91,3.18,Medium,Familiar,0.0,0.74,8.16,809804.75
9,7,3.03,8,Mixed,2,1.09,Execution,0.76,3.87,Medium,Expert,0.08,0.65,7.28,774617.91
11,15,6.45,12,Senior,4,0.33,Closure,0.85,5.11,High,New,0.07,0.75,7.8,751788.74
6,15,4.69,8,Mixed,3,1.17,Execution,0.55,7.18,Medium,Expert,0.0,0.46,9.36,859324.4
20,18,5.51,8,Mixed,2,1.55,Closure,0.56,1.38,Low,Expert,0.0,0.91,2.27,938894.92
31,25,6.05,15,Senior,2,1.28,Initiation,0.85,1.42,Critical,New,0.0,0.8,3.45,1762108.67
7,16,5.91,5,Mixed,1,1.2,Execution,0.94,3.79,Low,Familiar,0.0,0.83,5.76,611764.69
13,13,4.13,9,Senior,3,0.94,Planning,0.65,4.25,Medium,Expert,0.0,0.42,3.46,1149536.06
18,22,8.51,14,Mixed,5,1.23,Execution,0.64,3.47,Medium,Familiar,0.0,0.66,2.68,1398651.51
15,11,4.51,11,Expert,1,2.01,Monitoring,0.51,2.78,Medium,New,0.02,0.69,3.86,1225742.2
2,9,4.19,7,Junior,3,3.28,Closure,0.97,5.25,High,Familiar,0.14,0.43,7.52,315063.9
16,12,3.82,10,Mixed,1,2.94,Monitoring,0.88,0.9,Medium,Familiar,0.0,0.85,3.67,1225515.43
29,22,4.32,16,Mixed,2,4.45,Monitoring,0.71,4.31,Low,Expert,0.0,0.34,8.72,1737786.42
7,11,3.95,8,Mixed,1,3.47,Execution,0.62,3.33,Medium,Familiar,0.0,0.97,6.19,543902.63
19,16,3.43,15,Senior,2,1.23,Monitoring,0.89,4.15,High,Expert,0.0,0.78,8.06,1203768.46
23,18,3.89,14,Mixed,2,3.31,Planning,0.78,2.94,Critical,Familiar,0.0,0.87,9.88,1467743.29
14,20,6.67,13,Senior,3,0.84,Monitoring,0.82,10.9,High,Expert,0.0,0.44,3.3,1516320.02
15,22,9.08,9,Senior,4,1.1,Planning,0.61,2.68,Critical,Familiar,0.03,0.45,4.46,976842.3
19,22,7.69,14,Senior,3,0.68,Closure,0.92,1.88,Medium,New,0.0,0.74,8.84,1928384.29
27,29,9.35,13,Senior,3,1.17,Monitoring,0.62,2.48,High,Expert,0.0,0.78,9.06,1348012.41
14,14,4.04,11,Senior,3,0.88,Monitoring,0.86,5.35,High,Expert,0.0,0.37,8.9,1199922.4
26,27,8.22,14,Mixed,5,1.17,Initiation,0.81,2.14,Medium,Familiar,0.0,0.97,3.27,1223159.41
10,15,6.9,11,Senior,4,2.38,Planning,0.72,2.41,Critical,Familiar,0.13,0.74,7.71,702098.39
11,17,7.12,14,Senior,4,2.19,Closure,0.61,9.56,Low,Expert,0.04,0.35,9.31,1224672.15
30,28,6.98,20,Mixed,3,0.24,Closure,0.92,5.98,Critical,Familiar,0.0,0.46,4.17,2018726.07
2,7,3.45,3,Mixed,0,0.32,Initiation,0.42,2.51,Low,New,0.19,0.7,6.84,418545.09
16,21,8.31,10,Junior,3,1.47,Closure,0.87,0.48,Critical,Familiar,0.0,0.33,6.89,1339498.67
13,24,10.0,9,Junior,4,2.07,Closure,0.74,3.67,High,Expert,0.04,0.44,5.1,932503.2
28,19,4.63,14,Mixed,3,2.45,Planning,0.97,1.37,Low,Expert,0.0,0.62,4.78,1525826.82
21,28,9.87,19,Senior,6,1.54,Planning,0.25,3.71,High,Familiar,0.0,0.44,9.61,1806688.78
18,18,4.22,15,Expert,3,0.36,Initiation,0.94,1.23,High,Familiar,0.0,0.39,9.11,1438379.9
10,9,2.81,9,Senior,0,4.19,Initiation,0.69,1.78,Medium,Expert,0.0,0.69,3.9,957203.35
14,24,9.93,12,Senior,3,2.97,Monitoring,0.76,1.9,High,Expert,0.03,0.83,6.56,1204153.82
4,8,4.7,6,Senior,4,0.35,Monitoring,0.88,7.21,Medium,Expert,0.32,0.38,1.17,595691.95
19,23,8.94,11,Senior,5,1.57,Closure,0.8,1.94,Low,Expert,0.0,0.47,8.42,1618358.94
17,20,10.0,9,Expert,5,0.67,Initiation,0.97,1.27,High,Familiar,0.2,0.98,9.38,1199535.83
31,26,4.98,17,Senior,4,1.76,Initiation,0.5,3.84,High,Familiar,0.0,0.91,5.56,2041346.79
10,16,6.09,9,Mixed,2,1.81,Closure,0.8,1.07,Medium,New,0.0,0.34,7.38,850334.76
2,8,3.15,6,Expert,3,0.4,Planning,0.8,3.41,Critical,Expert,0.0,0.97,6.77,408070.44
24,22,6.99,8,Senior,4,2.46,Planning,0.87,2.47,Low,Familiar,0.0,0.62,3.97,951668.66
2,4,2.49,8,Mixed,2,2.47,Execution,0.7,1.33,Medium,Familiar,0.36,0.44,7.83,280016.45
22,28,10.0,18,Mixed,5,0.68,Monitoring,0.73,3.22,Medium,New,0.0,0.62,1.29,1943273.8
22,18,5.33,8,Senior,1,2.57,Execution,0.82,3.84,Medium,Expert,0.0,0.72,9.39,1088579.08
14,19,7.84,11,Senior,3,1.16,Initiation,0.66,4.49,Critical,Expert,0.03,0.82,4.75,849533.99
28,20,4.58,14,Junior,1,0.41,Planning,0.65,3.02,Medium,Familiar,0.0,0.69,4.64,1625977.14
33,28,6.78,20,Senior,3,1.1,Initiation,0.51,4.65,High,Expert,0.0,0.65,3.28,2307616.72
8,11,5.01,12,Junior,3,1.25,Initiation,0.7,2.84,Critical,New,0.12,0.86,5.97,955552.78
11,10,5.47,8,Senior,3,0.67,Initiation,0.89,2.48,Critical,Familiar,0.27,0.6,4.64,684991.39
34,30,9.36,11,Junior,6,0.32,Closure,0.9,7.74,Low,Expert,0.0,0.89,3.68,1509086.8
13,16,6.08,7,Senior,3,4.09,Initiation,0.32,7.05,Critical,Expert,0.0,0.55,5.04,745935.05
17,13,4.91,8,Mixed,2,0.33,Closure,0.77,1.48,High,New,0.0,0.55,6.75,692471.91
12,8,2.73,6,Senior,0,2.23,Initiation,0.85,4.21,Critical,Expert,0.0,0.39,3.62,618089.05
18,18,6.7,15,Mixed,3,1.16,Closure,0.84,1.47,Critical,Familiar,0.0,0.73,3.31,1758723.69
13,14,5.08,12,Junior,4,2.18,Planning,0.68,1.52,Critical,New,0.0,0.98,4.74,989419.59
